Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,Default,Cred_length
21517,27,28000,RENT,3.0,VENTURE,6000,13.92,0,0.21,N,6
19809,32,25000,RENT,0.0,DEBTCONSOLIDATION,3600,8.94,0,0.14,N,8
18600,30,101500,RENT,2.0,HOMEIMPROVEMENT,18000,12.18,0,0.18,N,7
12144,25,80000,MORTGAGE,9.0,VENTURE,6000,6.03,0,0.07,N,4
21907,29,50004,MORTGAGE,3.0,DEBTCONSOLIDATION,20000,11.58,0,0.4,N,7
22001,28,51150,MORTGAGE,1.0,MEDICAL,7200,9.63,0,0.14,N,10
13073,24,87600,MORTGAGE,8.0,EDUCATION,3000,5.99,0,0.03,N,2
16506,21,52000,RENT,5.0,PERSONAL,1500,11.99,0,0.03,N,2
23181,27,12000,RENT,2.0,MEDICAL,5000,8.49,1,0.42,N,10
24252,28,70000,MORTGAGE,0.0,VENTURE,5275,,0,0.08,N,5
10688,26,70000,MORTGAGE,,PERSONAL,5000,,0,0.07,N,4
22357,28,37000,RENT,3.0,DEBTCONSOLIDATION,7000,9.32,0,0.19,N,8
23034,31,54000,MORTGAGE,12.0,MEDICAL,15000,8.49,1,0.28,N,6
10949,23,70000,MORTGAGE,5.0,EDUCATION,20000,12.21,0,0.29,N,4
30481,36,55500,MORTGAGE,15.0,EDUCATION,7875,11.99,0,0.14,N,12
27415,30,140000,MORTGAGE,6.0,PERSONAL,5000,8.9,0,0.04,N,6
14496,24,37000,RENT,2.0,MEDICAL,2000,5.42,0,0.05,N,4
15434,26,104550,MORTGAGE,6.0,MEDICAL,15000,15.33,1,0.12,N,3
16975,25,69000,MORTGAGE,9.0,VENTURE,25000,6.99,0,0.36,N,4
9170,26,60000,MORTGAGE,10.0,DEBTCONSOLIDATION,6000,8.94,0,0.1,N,4
4007,23,39996,MORTGAGE,5.0,EDUCATION,10000,7.51,0,0.25,N,3
24307,31,19200,RENT,0.0,MEDICAL,4075,8.32,1,0.21,N,6
4198,25,30996,RENT,9.0,VENTURE,4500,6.92,0,0.15,N,3
11879,25,44966,RENT,3.0,MEDICAL,10025,5.42,0,0.22,N,4
18996,34,147000,RENT,1.0,EDUCATION,15000,8.94,0,0.1,N,5
619,22,51000,RENT,5.0,EDUCATION,20000,12.53,1,0.39,N,3
